Extent,Instrument,Max Spectral Range (eV),Min Spectral Range (eV),Observable,Source,Thumbnail,Time End,Time Start
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010518_i_000_s.jpg,2025-03-31 05:18:36,2025-03-31 05:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010548_i_000_m.jpg,2025-03-31 05:48:36,2025-03-31 05:48:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010548_i_000_s.jpg,2025-03-31 05:48:36,2025-03-31 05:48:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010618_i_000_m.jpg,2025-03-31 06:18:36,2025-03-31 06:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010618_i_000_s.jpg,2025-03-31 06:18:36,2025-03-31 06:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010648_i_000_m.jpg,2025-03-31 06:48:42,2025-03-31 06:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010648_i_000_s.jpg,2025-03-31 06:48:42,2025-03-31 06:48:42
FULLDISK,T1-HALPHA,1.889338324260306,1.889338324260306,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010655_i_05b_s.jpg,2025-03-31 06:55:24,2025-03-31 06:55:24
FULLDISK,T1-HALPHA,1.8890504605299645,1.8890504605299645,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010655_i_05r_s.jpg,2025-03-31 06:55:24,2025-03-31 06:55:24
FULLDISK,T1-HALPHA,1.8894247004880207,1.8894247004880207,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010655_i_08b_s.jpg,2025-03-31 06:55:24,2025-03-31 06:55:24
